variable_name,label,pair_id,A_region,B_region,A_motivation,B_motivation,A_education,B_education,A_employer,B_employer,A_gender,B_gender,A_age,B_age,A_occupation,B_occupation,A_language,B_language,A_politics,B_politics,A_appearance,B_appearance
CJ11,R2M1Ed2Em2G1A1O3L2P3Ap2 / R1M1Ed2Em2G1A1O3L2P3Ap1,11,"Восточная Азия (Китай, Южная Корея, Монголия)","Африка (Нигерия, ЮАР, Кения)",Бегство от вооружённого конфликта,Бегство от вооружённого конфликта,Среднее (школа),Среднее (школа),Небольшая частная компания,Небольшая частная компания,Женщина,Женщина,21,21,Строитель,Строитель,Говорит свободно,Говорит свободно,Страна помогает России обходить санкции (параллельный экспорт),Страна помогает России обходить санкции (параллельный экспорт),В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит обычную повседневную одежду
CJ12,R5M1Ed2Em2G1A3O2L1P3Ap1 / R7M2Ed3Em2G2A3O4L1P3Ap1,12,"Средняя Азия (Узбекистан, Таджикистан, Кыргызстан)","Южный Кавказ (Армения, Азербайджан, Грузия)",Бегство от вооружённого конфликта,Бегство от политических преследований,Среднее (школа),Среднее специальное (колледж),Небольшая частная компания,Небольшая частная компания,Женщина,Мужчина,23,23,Программист,Сфера услуг (общепит),Говорит плохо,Говорит плохо,Страна помогает России обходить санкции (параллельный экспорт),Страна помогает России обходить санкции (параллельный экспорт),В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит обычную повседневную одежду
CJ13,R7M1Ed2Em1G1A9O4L1P3Ap1 / R3M3Ed1Em1G2A9O3L1P2Ap2,13,"Южный Кавказ (Армения, Азербайджан, Грузия)","Восточная Европа (Беларусь, Молдова, Украина)",Бегство от вооружённого конфликта,"Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Среднее (школа),Высшее (университет),Государственная организация,Государственная организация,Женщина,Мужчина,63,63,Сфера услуг (общепит),Строитель,Говорит плохо,Говорит плохо,Страна помогает России обходить санкции (параллельный экспорт),Страна обычно голосует вместе с США в Генассамблее ООН,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит традиционную национальную одежду
CJ14,R7M3Ed2Em2G1A7O2L2P1Ap2 / R7M3Ed1Em2G2A4O2L1P1Ap2,14,"Южный Кавказ (Армения, Азербайджан, Грузия)","Южный Кавказ (Армения, Азербайджан, Грузия)","Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию","Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Среднее (школа),Высшее (университет),Небольшая частная компания,Небольшая частная компания,Женщина,Мужчина,61,45,Программист,Программист,Говорит свободно,Говорит плохо,Страна обычно голосует вместе с Россией в Генассамблее ООН,Страна обычно голосует вместе с Россией в Генассамблее ООН,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ15,R6M1Ed1Em2G2A1O4L2P2Ap2 / R4M4Ed1Em2G1A3O4L2P4Ap2,15,"Юго-Восточная Европа (Венгрия, Сербия, Болгария)","Западная Европа (Германия, Франция, Италия)",Бегство от вооружённого конфликта,Поиск работы,Высшее (университет),Высшее (университет),Небольшая частная компания,Небольшая частная компания,Мужчина,Женщина,21,23,Сфера услуг (общепит),Сфера услуг (общепит),Говорит свободно,Говорит свободно,Страна обычно голосует вместе с США в Генассамблее ООН,Страна присоединилась к санкциям против России,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ16,R2M4Ed3Em1G2A1O2L2P4Ap2 / R5M3Ed3Em1G2A7O2L2P2Ap2,16,"Восточная Азия (Китай, Южная Корея, Монголия)","Средняя Азия (Узбекистан, Таджикистан, Кыргызстан)",Поиск работы,"Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Среднее специальное (колледж),Среднее специальное (колледж),Государственная организация,Государственная организация,Мужчина,Мужчина,21,61,Программист,Программист,Говорит свободно,Говорит свободно,Страна присоединилась к санкциям против России,Страна обычно голосует вместе с США в Генассамблее ООН,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ17,R2M2Ed3Em2G2A8O4L2P4Ap2 / R3M2Ed3Em1G2A8O4L2P4Ap1,17,"Восточная Азия (Китай, Южная Корея, Монголия)","Восточная Европа (Беларусь, Молдова, Украина)",Бегство от политических преследований,Бегство от политических преследований,Среднее специальное (колледж),Среднее специальное (колледж),Небольшая частная компания,Государственная организация,Мужчина,Мужчина,62,62,Сфера услуг (общепит),Сфера услуг (общепит),Говорит свободно,Говорит свободно,Страна присоединилась к санкциям против России,Страна присоединилась к санкциям против России,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит обычную повседневную одежду
CJ18,R2M2Ed3Em1G1A4O3L2P4Ap1 / R5M2Ed1Em1G1A3O1L2P2Ap1,18,"Восточная Азия (Китай, Южная Корея, Монголия)","Средняя Азия (Узбекистан, Таджикистан, Кыргызстан)",Бегство от политических преследований,Бегство от политических преследований,Среднее специальное (колледж),Высшее (университет),Государственная организация,Государственная организация,Женщина,Женщина,45,23,Строитель,Врач,Говорит свободно,Говорит свободно,Страна присоединилась к санкциям против России,Страна обычно голосует вместе с США в Генассамблее ООН,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит обычную повседневную одежду
CJ19,R2M1Ed1Em1G2A9O3L2P2Ap1 / R6M1Ed3Em1G1A7O4L1P2Ap1,19,"Восточная Азия (Китай, Южная Корея, Монголия)","Юго-Восточная Европа (Венгрия, Сербия, Болгария)",Бегство от вооружённого конфликта,Бегство от вооружённого конфликта,Высшее (университет),Среднее специальное (колледж),Государственная организация,Государственная организация,Мужчина,Женщина,63,61,Строитель,Сфера услуг (общепит),Говорит свободно,Говорит плохо,Страна обычно голосует вместе с США в Генассамблее ООН,Страна обычно голосует вместе с США в Генассамблее ООН,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит обычную повседневную одежду
CJ20,R1M4Ed1Em2G2A4O3L1P2Ap2 / R1M2Ed2Em2G2A2O3L1P4Ap2,20,"Африка (Нигерия, ЮАР, Кения)","Африка (Нигерия, ЮАР, Кения)",Поиск работы,Бегство от политических преследований,Высшее (университет),Среднее (школа),Небольшая частная компания,Небольшая частная компания,Мужчина,Мужчина,45,22,Строитель,Строитель,Говорит плохо,Говорит плохо,Страна обычно голосует вместе с США в Генассамблее ООН,Страна присоединилась к санкциям против России,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ21,R2M3Ed2Em2G1A6O3L2P2Ap1 / R5M3Ed2Em2G1A4O2L2P3Ap1,21,"Восточная Азия (Китай, Южная Корея, Монголия)","Средняя Азия (Узбекистан, Таджикистан, Кыргызстан)","Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию","Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Среднее (школа),Среднее (школа),Небольшая частная компания,Небольшая частная компания,Женщина,Женщина,47,45,Строитель,Программист,Говорит свободно,Говорит свободно,Страна обычно голосует вместе с США в Генассамблее ООН,Страна помогает России обходить санкции (параллельный экспорт),В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит обычную повседневную одежду
CJ22,R2M1Ed1Em2G2A5O3L2P2Ap1 / R1M2Ed1Em2G2A5O3L1P1Ap1,22,"Восточная Азия (Китай, Южная Корея, Монголия)","Африка (Нигерия, ЮАР, Кения)",Бегство от вооружённого конфликта,Бегство от политических преследований,Высшее (университет),Высшее (университет),Небольшая частная компания,Небольшая частная компания,Мужчина,Мужчина,46,46,Строитель,Строитель,Говорит свободно,Говорит плохо,Страна обычно голосует вместе с США в Генассамблее ООН,Страна обычно голосует вместе с Россией в Генассамблее ООН,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит обычную повседневную одежду
CJ23,R1M1Ed2Em1G1A8O3L1P1Ap1 / R3M4Ed2Em2G2A2O3L2P1Ap2,23,"Африка (Нигерия, ЮАР, Кения)","Восточная Европа (Беларусь, Молдова, Украина)",Бегство от вооружённого конфликта,Поиск работы,Среднее (школа),Среднее (школа),Государственная организация,Небольшая частная компания,Женщина,Мужчина,62,22,Строитель,Строитель,Говорит плохо,Говорит свободно,Страна обычно голосует вместе с Россией в Генассамблее ООН,Страна обычно голосует вместе с Россией в Генассамблее ООН,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит традиционную национальную одежду
CJ24,R7M4Ed1Em1G1A3O1L1P2Ap2 / R3M4Ed1Em1G2A5O3L1P2Ap2,24,"Южный Кавказ (Армения, Азербайджан, Грузия)","Восточная Европа (Беларусь, Молдова, Украина)",Поиск работы,Поиск работы,Высшее (университет),Высшее (университет),Государственная организация,Государственная организация,Женщина,Мужчина,23,46,Врач,Строитель,Говорит плохо,Говорит плохо,Страна обычно голосует вместе с США в Генассамблее ООН,Страна обычно голосует вместе с США в Генассамблее ООН,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ25,R7M2Ed3Em2G2A7O4L1P4Ap2 / R7M2Ed3Em2G1A7O4L2P4Ap1,25,"Южный Кавказ (Армения, Азербайджан, Грузия)","Южный Кавказ (Армения, Азербайджан, Грузия)",Бегство от политических преследований,Бегство от политических преследований,Среднее специальное (колледж),Среднее специальное (колледж),Небольшая частная компания,Небольшая частная компания,Мужчина,Женщина,61,61,Сфера услуг (общепит),Сфера услуг (общепит),Говорит плохо,Говорит свободно,Страна присоединилась к санкциям против России,Страна присоединилась к санкциям против России,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит обычную повседневную одежду
CJ26,R7M1Ed1Em2G1A3O4L1P4Ap2 / R6M1Ed1Em2G1A1O3L1P4Ap2,26,"Южный Кавказ (Армения, Азербайджан, Грузия)","Юго-Восточная Европа (Венгрия, Сербия, Болгария)",Бегство от вооружённого конфликта,Бегство от вооружённого конфликта,Высшее (университет),Высшее (университет),Небольшая частная компания,Небольшая частная компания,Женщина,Женщина,23,21,Сфера услуг (общепит),Строитель,Говорит плохо,Говорит плохо,Страна присоединилась к санкциям против России,Страна присоединилась к санкциям против России,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ27,R1M4Ed1Em2G1A2O3L2P2Ap2 / R4M4Ed1Em2G1A9O3L2P2Ap2,27,"Африка (Нигерия, ЮАР, Кения)","Западная Европа (Германия, Франция, Италия)",Поиск работы,Поиск работы,Высшее (университет),Высшее (университет),Небольшая частная компания,Небольшая частная компания,Женщина,Женщина,22,63,Строитель,Строитель,Говорит свободно,Говорит свободно,Страна обычно голосует вместе с США в Генассамблее ООН,Страна обычно голосует вместе с США в Генассамблее ООН,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ28,R5M4Ed2Em1G2A6O4L2P1Ap2 / R5M4Ed2Em2G1A4O4L1P1Ap1,28,"Средняя Азия (Узбекистан, Таджикистан, Кыргызстан)","Средняя Азия (Узбекистан, Таджикистан, Кыргызстан)",Поиск работы,Поиск работы,Среднее (школа),Среднее (школа),Государственная организация,Небольшая частная компания,Мужчина,Женщина,47,45,Сфера услуг (общепит),Сфера услуг (общепит),Говорит свободно,Говорит плохо,Страна обычно голосует вместе с Россией в Генассамблее ООН,Страна обычно голосует вместе с Россией в Генассамблее ООН,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит обычную повседневную одежду
CJ29,R7M3Ed1Em2G1A7O3L2P1Ap1 / R4M3Ed2Em2G1A7O3L1P2Ap1,29,"Южный Кавказ (Армения, Азербайджан, Грузия)","Западная Европа (Германия, Франция, Италия)","Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию","Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Высшее (университет),Среднее (школа),Небольшая частная компания,Небольшая частная компания,Женщина,Женщина,61,61,Строитель,Строитель,Говорит свободно,Говорит плохо,Страна обычно голосует вместе с Россией в Генассамблее ООН,Страна обычно голосует вместе с США в Генассамблее ООН,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит обычную повседневную одежду
CJ30,R2M1Ed1Em2G2A3O4L1P4Ap1 / R6M2Ed1Em2G2A6O4L1P4Ap1,30,"Восточная Азия (Китай, Южная Корея, Монголия)","Юго-Восточная Европа (Венгрия, Сербия, Болгария)",Бегство от вооружённого конфликта,Бегство от политических преследований,Высшее (университет),Высшее (университет),Небольшая частная компания,Небольшая частная компания,Мужчина,Мужчина,23,47,Сфера услуг (общепит),Сфера услуг (общепит),Говорит плохо,Говорит плохо,Страна присоединилась к санкциям против России,Страна присоединилась к санкциям против России,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит обычную повседневную одежду
CJ31,R2M3Ed1Em2G2A4O2L2P3Ap2 / R7M3Ed1Em2G1A5O2L2P3Ap2,31,"Восточная Азия (Китай, Южная Корея, Монголия)","Южный Кавказ (Армения, Азербайджан, Грузия)","Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию","Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Высшее (университет),Высшее (университет),Небольшая частная компания,Небольшая частная компания,Мужчина,Женщина,45,46,Программист,Программист,Говорит свободно,Говорит свободно,Страна помогает России обходить санкции (параллельный экспорт),Страна помогает России обходить санкции (параллельный экспорт),В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ32,R5M3Ed1Em1G1A9O1L1P2Ap1 / R7M2Ed1Em1G1A8O4L1P4Ap1,32,"Средняя Азия (Узбекистан, Таджикистан, Кыргызстан)","Южный Кавказ (Армения, Азербайджан, Грузия)","Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Бегство от политических преследований,Высшее (университет),Высшее (университет),Государственная организация,Государственная организация,Женщина,Женщина,63,62,Врач,Сфера услуг (общепит),Говорит плохо,Говорит плохо,Страна обычно голосует вместе с США в Генассамблее ООН,Страна присоединилась к санкциям против России,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит обычную повседневную одежду
CJ33,R1M4Ed1Em2G1A4O4L2P2Ap2 / R7M4Ed1Em2G1A7O2L2P3Ap2,33,"Африка (Нигерия, ЮАР, Кения)","Южный Кавказ (Армения, Азербайджан, Грузия)",Поиск работы,Поиск работы,Высшее (университет),Высшее (университет),Небольшая частная компания,Небольшая частная компания,Женщина,Женщина,45,61,Сфера услуг (общепит),Программист,Говорит свободно,Говорит свободно,Страна обычно голосует вместе с США в Генассамблее ООН,Страна помогает России обходить санкции (параллельный экспорт),В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ34,R2M2Ed2Em2G1A1O2L2P3Ap2 / R4M2Ed2Em2G1A9O2L2P1Ap2,34,"Восточная Азия (Китай, Южная Корея, Монголия)","Западная Европа (Германия, Франция, Италия)",Бегство от политических преследований,Бегство от политических преследований,Среднее (школа),Среднее (школа),Небольшая частная компания,Небольшая частная компания,Женщина,Женщина,21,63,Программист,Программист,Говорит свободно,Говорит свободно,Страна помогает России обходить санкции (параллельный экспорт),Страна обычно голосует вместе с Россией в Генассамблее ООН,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ35,R2M3Ed1Em2G2A1O2L2P2Ap2 / R5M3Ed1Em2G2A8O3L2P3Ap2,35,"Восточная Азия (Китай, Южная Корея, Монголия)","Средняя Азия (Узбекистан, Таджикистан, Кыргызстан)","Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию","Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Высшее (университет),Высшее (университет),Небольшая частная компания,Небольшая частная компания,Мужчина,Мужчина,21,62,Программист,Строитель,Говорит свободно,Говорит свободно,Страна обычно голосует вместе с США в Генассамблее ООН,Страна помогает России обходить санкции (параллельный экспорт),В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ36,R5M4Ed1Em1G2A6O2L2P3Ap2 / R1M3Ed1Em2G2A9O2L1P3Ap1,36,"Средняя Азия (Узбекистан, Таджикистан, Кыргызстан)","Африка (Нигерия, ЮАР, Кения)",Поиск работы,"Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Высшее (университет),Высшее (университет),Государственная организация,Небольшая частная компания,Мужчина,Мужчина,47,63,Программист,Программист,Говорит свободно,Говорит плохо,Страна помогает России обходить санкции (параллельный экспорт),Страна помогает России обходить санкции (параллельный экспорт),В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит обычную повседневную одежду
CJ37,R7M4Ed3Em2G2A4O4L2P1Ap2 / R7M4Ed1Em2G2A7O2L2P1Ap1,37,"Южный Кавказ (Армения, Азербайджан, Грузия)","Южный Кавказ (Армения, Азербайджан, Грузия)",Поиск работы,Поиск работы,Среднее специальное (колледж),Высшее (университет),Небольшая частная компания,Небольшая частная компания,Мужчина,Мужчина,45,61,Сфера услуг (общепит),Программист,Говорит свободно,Говорит свободно,Страна обычно голосует вместе с Россией в Генассамблее ООН,Страна обычно голосует вместе с Россией в Генассамблее ООН,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит обычную повседневную одежду
CJ38,R5M4Ed3Em2G2A4O3L2P1Ap2 / R5M1Ed2Em1G2A1O3L2P1Ap2,38,"Средняя Азия (Узбекистан, Таджикистан, Кыргызстан)","Средняя Азия (Узбекистан, Таджикистан, Кыргызстан)",Поиск работы,Бегство от вооружённого конфликта,Среднее специальное (колледж),Среднее (школа),Небольшая частная компания,Государственная организация,Мужчина,Мужчина,45,21,Строитель,Строитель,Говорит свободно,Говорит свободно,Страна обычно голосует вместе с Россией в Генассамблее ООН,Страна обычно голосует вместе с Россией в Генассамблее ООН,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ39,R1M3Ed2Em1G1A3O2L1P3Ap1 / R1M2Ed1Em1G1A8O2L1P3Ap2,39,"Африка (Нигерия, ЮАР, Кения)","Африка (Нигерия, ЮАР, Кения)","Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Бегство от политических преследований,Среднее (школа),Высшее (университет),Государственная организация,Государственная организация,Женщина,Женщина,23,62,Программист,Программист,Говорит плохо,Говорит плохо,Страна помогает России обходить санкции (параллельный экспорт),Страна помогает России обходить санкции (параллельный экспорт),В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит традиционную национальную одежду
CJ40,R1M4Ed1Em2G1A9O4L2P2Ap1 / R6M2Ed1Em1G1A1O4L1P2Ap1,40,"Африка (Нигерия, ЮАР, Кения)","Юго-Восточная Европа (Венгрия, Сербия, Болгария)",Поиск работы,Бегство от политических преследований,Высшее (университет),Высшее (университет),Небольшая частная компания,Государственная организация,Женщина,Женщина,63,21,Сфера услуг (общепит),Сфера услуг (общепит),Говорит свободно,Говорит плохо,Страна обычно голосует вместе с США в Генассамблее ООН,Страна обычно голосует вместе с США в Генассамблее ООН,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит обычную повседневную одежду
CJ41,R1M3Ed2Em1G2A9O2L2P3Ap2 / R3M3Ed2Em1G2A9O4L2P2Ap1,41,"Африка (Нигерия, ЮАР, Кения)","Восточная Европа (Беларусь, Молдова, Украина)","Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию","Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Среднее (школа),Среднее (школа),Государственная организация,Государственная организация,Мужчина,Мужчина,63,63,Программист,Сфера услуг (общепит),Говорит свободно,Говорит свободно,Страна помогает России обходить санкции (параллельный экспорт),Страна обычно голосует вместе с США в Генассамблее ООН,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит обычную повседневную одежду
