variable_name,label,pair_id,A_country,B_country,A_motivation,B_motivation,A_employer,B_employer,A_gender,B_gender,A_age,B_age,A_occupation,B_occupation,A_language,B_language
CJ18,C5M1E2G2A1O3L2 / C5M1E2G1A1O3L1,18,Румыния,Румыния,Воссоединение с супругом(ой),Воссоединение с супругом(ой),Небольшая частная компания,Небольшая частная компания,Мужчина,Женщина,21,21,Строитель,Строитель,Говорит свободно,Говорит плохо
CJ19,C1M1E1G2A2O2L1 / C1M1E2G1A3O2L1,19,Беларусь,Беларусь,Воссоединение с супругом(ой),Воссоединение с супругом(ой),Государственная организация,Небольшая частная компания,Мужчина,Женщина,48,62,Программист,Программист,Говорит плохо,Говорит плохо
CJ20,C1M4E1G2A1O4L1 / C1M4E2G2A1O2L1,20,Беларусь,Беларусь,Учёба,Учёба,Государственная организация,Небольшая частная компания,Мужчина,Мужчина,21,21,Сфера услуг (общепит),Программист,Говорит плохо,Говорит плохо
CJ21,C2M1E1G2A3O1L1 / C2M3E2G2A3O2L1,21,Венгрия,Венгрия,Воссоединение с супругом(ой),Политическая нестабильность,Государственная организация,Небольшая частная компания,Мужчина,Мужчина,62,62,Врач,Программист,Говорит плохо,Говорит плохо
CJ22,C1M3E1G1A3O2L1 / C7M3E1G2A3O2L2,22,Беларусь,Украина,Политическая нестабильность,Политическая нестабильность,Государственная организация,Государственная организация,Женщина,Мужчина,62,62,Программист,Программист,Говорит плохо,Говорит свободно
CJ23,C6M4E1G1A1O2L1 / C6M4E2G2A1O3L2,23,Узбекистан,Узбекистан,Учёба,Учёба,Государственная организация,Небольшая частная компания,Женщина,Мужчина,21,21,Программист,Строитель,Говорит плохо,Говорит свободно
CJ24,C2M1E1G1A2O3L1 / C1M1E1G1A1O3L2,24,Венгрия,Беларусь,Воссоединение с супругом(ой),Воссоединение с супругом(ой),Государственная организация,Государственная организация,Женщина,Женщина,48,21,Строитель,Строитель,Говорит плохо,Говорит свободно
CJ25,C5M2E2G1A1O2L2 / C1M2E2G2A1O2L1,25,Румыния,Беларусь,Поиск работы,Поиск работы,Небольшая частная компания,Небольшая частная компания,Женщина,Мужчина,21,21,Программист,Программист,Говорит свободно,Говорит плохо
CJ26,C3M4E2G1A1O2L1 / C2M4E1G1A1O3L1,26,Индия,Венгрия,Учёба,Учёба,Небольшая частная компания,Государственная организация,Женщина,Женщина,21,21,Программист,Строитель,Говорит плохо,Говорит плохо
CJ27,C4M1E2G2A1O4L2 / C4M3E2G2A1O4L1,27,Пакистан,Пакистан,Воссоединение с супругом(ой),Политическая нестабильность,Небольшая частная компания,Небольшая частная компания,Мужчина,Мужчина,21,21,Сфера услуг (общепит),Сфера услуг (общепит),Говорит свободно,Говорит плохо
CJ28,C6M2E2G2A1O3L1 / C3M2E1G1A1O3L1,28,Узбекистан,Индия,Поиск работы,Поиск работы,Небольшая частная компания,Государственная организация,Мужчина,Женщина,21,21,Строитель,Строитель,Говорит плохо,Говорит плохо
CJ29,C3M2E1G2A1O2L2 / C7M1E1G2A1O2L2,29,Индия,Украина,Поиск работы,Воссоединение с супругом(ой),Государственная организация,Государственная организация,Мужчина,Мужчина,21,21,Программист,Программист,Говорит свободно,Говорит свободно
CJ30,C6M1E2G2A3O2L1 / C7M1E2G2A3O1L2,30,Узбекистан,Украина,Воссоединение с супругом(ой),Воссоединение с супругом(ой),Небольшая частная компания,Небольшая частная компания,Мужчина,Мужчина,62,62,Программист,Врач,Говорит плохо,Говорит свободно
CJ31,C6M2E2G2A2O2L2 / C7M1E2G2A2O2L2,31,Узбекистан,Украина,Поиск работы,Воссоединение с супругом(ой),Небольшая частная компания,Небольшая частная компания,Мужчина,Мужчина,48,48,Программист,Программист,Говорит свободно,Говорит свободно
CJ32,C3M2E1G1A1O2L2 / C7M2E1G2A2O2L2,32,Индия,Украина,Поиск работы,Поиск работы,Государственная организация,Государственная организация,Женщина,Мужчина,21,48,Программист,Программист,Говорит свободно,Говорит свободно
CJ33,C3M2E1G2A3O2L1 / C2M2E2G1A3O2L1,33,Индия,Венгрия,Поиск работы,Поиск работы,Государственная организация,Небольшая частная компания,Мужчина,Женщина,62,62,Программист,Программист,Говорит плохо,Говорит плохо
CJ34,C6M1E1G2A2O1L1 / C2M1E1G2A3O1L2,34,Узбекистан,Венгрия,Воссоединение с супругом(ой),Воссоединение с супругом(ой),Государственная организация,Государственная организация,Мужчина,Мужчина,48,62,Врач,Врач,Говорит плохо,Говорит свободно
CJ35,C4M1E2G2A1O2L2 / C5M1E2G2A3O2L2,35,Пакистан,Румыния,Воссоединение с супругом(ой),Воссоединение с супругом(ой),Небольшая частная компания,Небольшая частная компания,Мужчина,Мужчина,21,62,Программист,Программист,Говорит свободно,Говорит свободно
CJ36,C6M3E1G2A3O4L1 / C2M3E2G2A3O4L1,36,Узбекистан,Венгрия,Политическая нестабильность,Политическая нестабильность,Государственная организация,Небольшая частная компания,Мужчина,Мужчина,62,62,Сфера услуг (общепит),Сфера услуг (общепит),Говорит плохо,Говорит плохо
CJ37,C5M1E2G1A1O3L1 / C7M3E1G2A2O4L2,37,Румыния,Украина,Воссоединение с супругом(ой),Политическая нестабильность,Небольшая частная компания,Государственная организация,Женщина,Мужчина,21,48,Строитель,Сфера услуг (общепит),Говорит плохо,Говорит свободно
CJ38,C3M1E2G2A2O3L2 / C3M1E2G1A2O3L1,38,Индия,Индия,Воссоединение с супругом(ой),Воссоединение с супругом(ой),Небольшая частная компания,Небольшая частная компания,Мужчина,Женщина,48,48,Строитель,Строитель,Говорит свободно,Говорит плохо
CJ39,C3M2E2G1A2O1L1 / C3M3E1G1A2O1L1,39,Индия,Индия,Поиск работы,Политическая нестабильность,Небольшая частная компания,Государственная организация,Женщина,Женщина,48,48,Врач,Врач,Говорит плохо,Говорит плохо
CJ40,C3M1E2G1A2O1L1 / C1M3E2G1A2O1L1,40,Индия,Беларусь,Воссоединение с супругом(ой),Политическая нестабильность,Небольшая частная компания,Небольшая частная компания,Женщина,Женщина,48,48,Врач,Врач,Говорит плохо,Говорит плохо
CJ41,C3M2E2G2A3O3L1 / C5M1E2G2A3O3L1,41,Индия,Румыния,Поиск работы,Воссоединение с супругом(ой),Небольшая частная компания,Небольшая частная компания,Мужчина,Мужчина,62,62,Строитель,Строитель,Говорит плохо,Говорит плохо
CJ42,C3M1E2G1A3O4L1 / C7M1E2G1A3O3L1,42,Индия,Украина,Воссоединение с супругом(ой),Воссоединение с супругом(ой),Небольшая частная компания,Небольшая частная компания,Женщина,Женщина,62,62,Сфера услуг (общепит),Строитель,Говорит плохо,Говорит плохо
CJ43,C2M3E1G2A3O4L2 / C7M1E1G2A3O4L2,43,Венгрия,Украина,Политическая нестабильность,Воссоединение с супругом(ой),Государственная организация,Государственная организация,Мужчина,Мужчина,62,62,Сфера услуг (общепит),Сфера услуг (общепит),Говорит свободно,Говорит свободно
CJ44,C2M3E1G2A1O3L2 / C2M3E1G1A3O3L2,44,Венгрия,Венгрия,Политическая нестабильность,Политическая нестабильность,Государственная организация,Государственная организация,Мужчина,Женщина,21,62,Строитель,Строитель,Говорит свободно,Говорит свободно
CJ45,C6M1E2G1A2O2L2 / C5M1E2G2A2O4L2,45,Узбекистан,Румыния,Воссоединение с супругом(ой),Воссоединение с супругом(ой),Небольшая частная компания,Небольшая частная компания,Женщина,Мужчина,48,48,Программист,Сфера услуг (общепит),Говорит свободно,Говорит свободно
CJ46,C6M2E2G1A3O4L1 / C1M2E2G2A3O2L1,46,Узбекистан,Беларусь,Поиск работы,Поиск работы,Небольшая частная компания,Небольшая частная компания,Женщина,Мужчина,62,62,Сфера услуг (общепит),Программист,Говорит плохо,Говорит плохо
CJ47,C3M3E1G2A3O2L2 / C1M2E1G1A3O2L2,47,Индия,Беларусь,Политическая нестабильность,Поиск работы,Государственная организация,Государственная организация,Мужчина,Женщина,62,62,Программист,Программист,Говорит свободно,Говорит свободно
CJ48,C4M3E1G2A2O4L2 / C1M3E2G2A2O4L1,48,Пакистан,Беларусь,Политическая нестабильность,Политическая нестабильность,Государственная организация,Небольшая частная компания,Мужчина,Мужчина,48,48,Сфера услуг (общепит),Сфера услуг (общепит),Говорит свободно,Говорит плохо
CJ49,C3M2E1G2A3O3L2 / C5M2E2G2A2O3L2,49,Индия,Румыния,Поиск работы,Поиск работы,Государственная организация,Небольшая частная компания,Мужчина,Мужчина,62,48,Строитель,Строитель,Говорит свободно,Говорит свободно
CJ50,C3M3E2G2A2O4L2 / C5M2E2G1A2O4L2,50,Индия,Румыния,Политическая нестабильность,Поиск работы,Небольшая частная компания,Небольшая частная компания,Мужчина,Женщина,48,48,Сфера услуг (общепит),Сфера услуг (общепит),Говорит свободно,Говорит свободно
CJ51,C4M2E1G2A1O2L1 / C4M1E1G2A3O2L1,51,Пакистан,Пакистан,Поиск работы,Воссоединение с супругом(ой),Государственная организация,Государственная организация,Мужчина,Мужчина,21,62,Программист,Программист,Говорит плохо,Говорит плохо
CJ52,C6M2E2G2A2O4L2 / C6M2E2G1A2O1L1,52,Узбекистан,Узбекистан,Поиск работы,Поиск работы,Небольшая частная компания,Небольшая частная компания,Мужчина,Женщина,48,48,Сфера услуг (общепит),Врач,Говорит свободно,Говорит плохо
CJ53,C5M2E1G2A1O3L2 / C5M2E2G2A3O3L2,53,Румыния,Румыния,Поиск работы,Поиск работы,Государственная организация,Небольшая частная компания,Мужчина,Мужчина,21,62,Строитель,Строитель,Говорит свободно,Говорит свободно
CJ54,C2M4E2G1A1O3L1 / C5M4E2G1A1O4L2,54,Венгрия,Румыния,Учёба,Учёба,Небольшая частная компания,Небольшая частная компания,Женщина,Женщина,21,21,Строитель,Сфера услуг (общепит),Говорит плохо,Говорит свободно
CJ55,C2M1E1G1A1O3L2 / C7M1E1G1A2O3L2,55,Венгрия,Украина,Воссоединение с супругом(ой),Воссоединение с супругом(ой),Государственная организация,Государственная организация,Женщина,Женщина,21,48,Строитель,Строитель,Говорит свободно,Говорит свободно
CJ56,C4M2E1G1A2O2L1 / C7M4E1G2A1O2L1,56,Пакистан,Украина,Поиск работы,Учёба,Государственная организация,Государственная организация,Женщина,Мужчина,48,21,Программист,Программист,Говорит плохо,Говорит плохо
CJ57,C4M3E1G1A1O4L2 / C4M3E2G2A1O4L1,57,Пакистан,Пакистан,Политическая нестабильность,Политическая нестабильность,Государственная организация,Небольшая частная компания,Женщина,Мужчина,21,21,Сфера услуг (общепит),Сфера услуг (общепит),Говорит свободно,Говорит плохо
CJ58,C6M2E2G1A3O3L1 / C5M1E2G2A1O3L2,58,Узбекистан,Румыния,Поиск работы,Воссоединение с супругом(ой),Небольшая частная компания,Небольшая частная компания,Женщина,Мужчина,62,21,Строитель,Строитель,Говорит плохо,Говорит свободно
CJ59,C2M3E1G2A2O4L2 / C1M3E1G1A2O4L1,59,Венгрия,Беларусь,Политическая нестабильность,Политическая нестабильность,Государственная организация,Государственная организация,Мужчина,Женщина,48,48,Сфера услуг (общепит),Сфера услуг (общепит),Говорит свободно,Говорит плохо
CJ60,C2M2E1G2A1O3L1 / C2M3E1G2A1O2L1,60,Венгрия,Венгрия,Поиск работы,Политическая нестабильность,Государственная организация,Государственная организация,Мужчина,Мужчина,21,21,Строитель,Программист,Говорит плохо,Говорит плохо
CJ61,C7M4E1G2A1O3L2 / C7M4E2G1A1O4L2,61,Украина,Украина,Учёба,Учёба,Государственная организация,Небольшая частная компания,Мужчина,Женщина,21,21,Строитель,Сфера услуг (общепит),Говорит свободно,Говорит свободно
CJ62,C6M2E1G1A2O1L1 / C1M2E1G2A2O1L2,62,Узбекистан,Беларусь,Поиск работы,Поиск работы,Государственная организация,Государственная организация,Женщина,Мужчина,48,48,Врач,Врач,Говорит плохо,Говорит свободно
CJ63,C3M3E2G2A3O1L1 / C2M1E2G2A2O1L2,63,Индия,Венгрия,Политическая нестабильность,Воссоединение с супругом(ой),Небольшая частная компания,Небольшая частная компания,Мужчина,Мужчина,62,48,Врач,Врач,Говорит плохо,Говорит свободно
CJ64,C6M3E2G1A2O4L1 / C4M3E1G1A1O4L1,64,Узбекистан,Пакистан,Политическая нестабильность,Политическая нестабильность,Небольшая частная компания,Государственная организация,Женщина,Женщина,48,21,Сфера услуг (общепит),Сфера услуг (общепит),Говорит плохо,Говорит плохо
CJ65,C6M2E2G1A2O4L1 / C5M2E2G1A2O4L2,65,Узбекистан,Румыния,Поиск работы,Поиск работы,Небольшая частная компания,Небольшая частная компания,Женщина,Женщина,48,48,Сфера услуг (общепит),Сфера услуг (общепит),Говорит плохо,Говорит свободно
CJ66,C2M1E2G2A1O4L1 / C5M1E1G1A1O4L1,66,Венгрия,Румыния,Воссоединение с супругом(ой),Воссоединение с супругом(ой),Небольшая частная компания,Государственная организация,Мужчина,Женщина,21,21,Сфера услуг (общепит),Сфера услуг (общепит),Говорит плохо,Говорит плохо
CJ67,C3M3E1G2A2O1L2 / C7M3E2G2A3O1L1,67,Индия,Украина,Политическая нестабильность,Политическая нестабильность,Государственная организация,Небольшая частная компания,Мужчина,Мужчина,48,62,Врач,Врач,Говорит свободно,Говорит плохо
CJ68,C3M1E2G1A3O2L2 / C3M3E1G1A3O2L1,68,Индия,Индия,Воссоединение с супругом(ой),Политическая нестабильность,Небольшая частная компания,Государственная организация,Женщина,Женщина,62,62,Программист,Программист,Говорит свободно,Говорит плохо
CJ69,C6M3E1G2A2O3L1 / C4M2E2G1A1O3L2,69,Узбекистан,Пакистан,Политическая нестабильность,Поиск работы,Государственная организация,Небольшая частная компания,Мужчина,Женщина,48,21,Строитель,Строитель,Говорит плохо,Говорит свободно
CJ70,C5M3E2G2A1O3L2 / C7M3E1G2A1O3L2,70,Румыния,Украина,Политическая нестабильность,Политическая нестабильность,Небольшая частная компания,Государственная организация,Мужчина,Мужчина,21,21,Строитель,Строитель,Говорит свободно,Говорит свободно
CJ71,C6M2E2G2A3O1L1 / C4M1E1G2A3O1L2,71,Узбекистан,Пакистан,Поиск работы,Воссоединение с супругом(ой),Небольшая частная компания,Государственная организация,Мужчина,Мужчина,62,62,Врач,Врач,Говорит плохо,Говорит свободно
CJ72,C3M1E2G2A1O3L1 / C5M1E2G1A1O3L2,72,Индия,Румыния,Воссоединение с супругом(ой),Воссоединение с супругом(ой),Небольшая частная компания,Небольшая частная компания,Мужчина,Женщина,21,21,Строитель,Строитель,Говорит плохо,Говорит свободно
CJ73,C2M1E1G1A2O4L2 / C7M1E2G2A1O4L2,73,Венгрия,Украина,Воссоединение с супругом(ой),Воссоединение с супругом(ой),Государственная организация,Небольшая частная компания,Женщина,Мужчина,48,21,Сфера услуг (общепит),Сфера услуг (общепит),Говорит свободно,Говорит свободно
CJ74,C1M2E1G2A3O4L1 / C1M4E1G2A1O4L1,74,Беларусь,Беларусь,Поиск работы,Учёба,Государственная организация,Государственная организация,Мужчина,Мужчина,62,21,Сфера услуг (общепит),Сфера услуг (общепит),Говорит плохо,Говорит плохо
CJ75,C4M1E1G2A3O1L1 / C7M1E1G1A3O1L1,75,Пакистан,Украина,Воссоединение с супругом(ой),Воссоединение с супругом(ой),Государственная организация,Государственная организация,Мужчина,Женщина,62,62,Врач,Врач,Говорит плохо,Говорит плохо
CJ76,C6M3E2G1A3O2L2 / C7M2E1G2A3O2L2,76,Узбекистан,Украина,Политическая нестабильность,Поиск работы,Небольшая частная компания,Государственная организация,Женщина,Мужчина,62,62,Программист,Программист,Говорит свободно,Говорит свободно
CJ77,C6M3E1G2A2O2L2 / C2M3E2G2A1O2L2,77,Узбекистан,Венгрия,Политическая нестабильность,Политическая нестабильность,Государственная организация,Небольшая частная компания,Мужчина,Мужчина,48,21,Программист,Программист,Говорит свободно,Говорит свободно
CJ78,C6M3E1G1A2O4L2 / C4M2E2G1A2O4L2,78,Узбекистан,Пакистан,Политическая нестабильность,Поиск работы,Государственная организация,Небольшая частная компания,Женщина,Женщина,48,48,Сфера услуг (общепит),Сфера услуг (общепит),Говорит свободно,Говорит свободно
CJ79,C1M2E1G1A2O4L1 / C1M2E2G1A3O3L2,79,Беларусь,Беларусь,Поиск работы,Поиск работы,Государственная организация,Небольшая частная компания,Женщина,Женщина,48,62,Сфера услуг (общепит),Строитель,Говорит плохо,Говорит свободно
CJ80,C3M3E1G2A2O3L2 / C4M3E1G1A1O3L2,80,Индия,Пакистан,Политическая нестабильность,Политическая нестабильность,Государственная организация,Государственная организация,Мужчина,Женщина,48,21,Строитель,Строитель,Говорит свободно,Говорит свободно
CJ81,C2M3E2G2A1O2L1 / C1M2E2G2A1O2L1,81,Венгрия,Беларусь,Политическая нестабильность,Поиск работы,Небольшая частная компания,Небольшая частная компания,Мужчина,Мужчина,21,21,Программист,Программист,Говорит плохо,Говорит плохо
CJ82,C5M3E2G1A2O2L2 / C1M3E2G2A2O2L2,82,Румыния,Беларусь,Политическая нестабильность,Политическая нестабильность,Небольшая частная компания,Небольшая частная компания,Женщина,Мужчина,48,48,Программист,Программист,Говорит свободно,Говорит свободно
CJ83,C6M1E1G2A2O4L1 / C6M3E1G1A3O4L1,83,Узбекистан,Узбекистан,Воссоединение с супругом(ой),Политическая нестабильность,Государственная организация,Государственная организация,Мужчина,Женщина,48,62,Сфера услуг (общепит),Сфера услуг (общепит),Говорит плохо,Говорит плохо
CJ84,C2M2E2G2A2O3L2 / C5M2E2G2A1O3L2,84,Венгрия,Румыния,Поиск работы,Поиск работы,Небольшая частная компания,Небольшая частная компания,Мужчина,Мужчина,48,21,Строитель,Строитель,Говорит свободно,Говорит свободно
CJ85,C4M3E2G2A3O2L1 / C1M3E2G1A2O2L1,85,Пакистан,Беларусь,Политическая нестабильность,Политическая нестабильность,Небольшая частная компания,Небольшая частная компания,Мужчина,Женщина,62,48,Программист,Программист,Говорит плохо,Говорит плохо
CJ86,C6M2E1G2A3O2L2 / C4M2E2G2A3O2L2,86,Узбекистан,Пакистан,Поиск работы,Поиск работы,Государственная организация,Небольшая частная компания,Мужчина,Мужчина,62,62,Программист,Программист,Говорит свободно,Говорит свободно
CJ87,C3M2E2G1A2O3L2 / C7M3E1G1A3O3L2,87,Индия,Украина,Поиск работы,Политическая нестабильность,Небольшая частная компания,Государственная организация,Женщина,Женщина,48,62,Строитель,Строитель,Говорит свободно,Говорит свободно
CJ88,C2M3E1G1A1O3L1 / C5M3E1G1A1O4L2,88,Венгрия,Румыния,Политическая нестабильность,Политическая нестабильность,Государственная организация,Государственная организация,Женщина,Женщина,21,21,Строитель,Сфера услуг (общепит),Говорит плохо,Говорит свободно
CJ89,C5M2E1G1A3O1L2 / C7M1E2G1A3O1L1,89,Румыния,Украина,Поиск работы,Воссоединение с супругом(ой),Государственная организация,Небольшая частная компания,Женщина,Женщина,62,62,Врач,Врач,Говорит свободно,Говорит плохо
CJ90,C2M4E1G2A1O3L1 / C7M4E1G1A1O4L1,90,Венгрия,Украина,Учёба,Учёба,Государственная организация,Государственная организация,Мужчина,Женщина,21,21,Строитель,Сфера услуг (общепит),Говорит плохо,Говорит плохо
CJ91,C4M3E2G2A1O4L2 / C5M3E2G2A1O2L1,91,Пакистан,Румыния,Политическая нестабильность,Политическая нестабильность,Небольшая частная компания,Небольшая частная компания,Мужчина,Мужчина,21,21,Сфера услуг (общепит),Программист,Говорит свободно,Говорит плохо
CJ92,C2M3E1G1A1O4L2 / C7M3E2G1A1O4L2,92,Венгрия,Украина,Политическая нестабильность,Политическая нестабильность,Государственная организация,Небольшая частная компания,Женщина,Женщина,21,21,Сфера услуг (общепит),Сфера услуг (общепит),Говорит свободно,Говорит свободно
CJ93,C3M1E2G2A1O4L2 / C7M1E1G1A1O4L2,93,Индия,Украина,Воссоединение с супругом(ой),Воссоединение с супругом(ой),Небольшая частная компания,Государственная организация,Мужчина,Женщина,21,21,Сфера услуг (общепит),Сфера услуг (общепит),Говорит свободно,Говорит свободно
CJ94,C3M3E2G2A2O3L2 / C5M3E2G1A2O3L2,94,Индия,Румыния,Политическая нестабильность,Политическая нестабильность,Небольшая частная компания,Небольшая частная компания,Мужчина,Женщина,48,48,Строитель,Строитель,Говорит свободно,Говорит свободно
CJ95,C2M2E1G1A3O4L1 / C2M1E2G1A3O2L1,95,Венгрия,Венгрия,Поиск работы,Воссоединение с супругом(ой),Государственная организация,Небольшая частная компания,Женщина,Женщина,62,62,Сфера услуг (общепит),Программист,Говорит плохо,Говорит плохо
CJ96,C1M3E1G1A3O2L2 / C1M3E2G1A3O2L1,96,Беларусь,Беларусь,Политическая нестабильность,Политическая нестабильность,Государственная организация,Небольшая частная компания,Женщина,Женщина,62,62,Программист,Программист,Говорит свободно,Говорит плохо
CJ97,C5M3E1G1A2O4L2 / C7M3E1G1A1O2L1,97,Румыния,Украина,Политическая нестабильность,Политическая нестабильность,Государственная организация,Государственная организация,Женщина,Женщина,48,21,Сфера услуг (общепит),Программист,Говорит свободно,Говорит плохо
CJ98,C2M2E2G2A3O1L2 / C5M1E1G2A3O1L1,98,Венгрия,Румыния,Поиск работы,Воссоединение с супругом(ой),Небольшая частная компания,Государственная организация,Мужчина,Мужчина,62,62,Врач,Врач,Говорит свободно,Говорит плохо
CJ99,C3M2E2G1A2O1L1 / C2M2E1G2A1O3L1,99,Индия,Венгрия,Поиск работы,Поиск работы,Небольшая частная компания,Государственная организация,Женщина,Мужчина,48,21,Врач,Строитель,Говорит плохо,Говорит плохо
CJ100,C5M3E2G2A1O3L2 / C7M3E2G1A1O4L2,100,Румыния,Украина,Политическая нестабильность,Политическая нестабильность,Небольшая частная компания,Небольшая частная компания,Мужчина,Женщина,21,21,Строитель,Сфера услуг (общепит),Говорит свободно,Говорит свободно
CJ101,C3M2E2G2A1O4L1 / C3M1E2G1A2O4L1,101,Индия,Индия,Поиск работы,Воссоединение с супругом(ой),Небольшая частная компания,Небольшая частная компания,Мужчина,Женщина,21,48,Сфера услуг (общепит),Сфера услуг (общепит),Говорит плохо,Говорит плохо
CJ102,C2M3E1G2A1O3L1 / C2M3E1G1A3O3L1,102,Венгрия,Венгрия,Политическая нестабильность,Политическая нестабильность,Государственная организация,Государственная организация,Мужчина,Женщина,21,62,Строитель,Строитель,Говорит плохо,Говорит плохо
CJ103,C4M3E1G1A1O2L1 / C4M3E2G1A2O2L1,103,Пакистан,Пакистан,Политическая нестабильность,Политическая нестабильность,Государственная организация,Небольшая частная компания,Женщина,Женщина,21,48,Программист,Программист,Говорит плохо,Говорит плохо
CJ104,C3M2E2G2A1O3L2 / C5M2E2G1A1O4L2,104,Индия,Румыния,Поиск работы,Поиск работы,Небольшая частная компания,Небольшая частная компания,Мужчина,Женщина,21,21,Строитель,Сфера услуг (общепит),Говорит свободно,Говорит свободно
CJ105,C1M4E1G2A1O4L2 / C1M4E2G2A1O3L2,105,Беларусь,Беларусь,Учёба,Учёба,Государственная организация,Небольшая частная компания,Мужчина,Мужчина,21,21,Сфера услуг (общепит),Строитель,Говорит свободно,Говорит свободно
CJ106,C4M2E2G1A2O2L1 / C4M3E1G1A2O3L1,106,Пакистан,Пакистан,Поиск работы,Политическая нестабильность,Небольшая частная компания,Государственная организация,Женщина,Женщина,48,48,Программист,Строитель,Говорит плохо,Говорит плохо
